UNIQUE_ID,DATE,DISTRICT_CURRENT,VDC_MUNICIPALITY,WARD_CURRENT,CASTE_ETHNICITY,SEX_OF_RESPONDENTS,AGE_OF_RESPONDENTS,EDUCATION_OF_RESPONDENTS,WALKING_DISTANCE,Household_Size,Highest_Education,Primary_Occupation,Income,Damage_Category,Months_Recon,Recon_Completed,Amount_Spent,Govt_Grant,Home_Safe,Satisfaction_Level,Freedom_Choice
453212,2018-12-14,2,1,2,27,1,39,2,0,7,2,1,5,4,15,100,1050000,200000,1,8,6
463212,2018-12-14,2,1,2,44,2,38,7,0,5,2,1,4,4,2,100,1000000,200000,1,5,6
473216,2018-12-15,2,1,6,67,2,40,7,0,5,4,1,4,4,1,100,-1,200000,1,7,7
483216,2018-12-15,2,1,6,67,2,28,1,0,6,2,1,4,4,3,100,600000,200000,1,7,8
493216,2018-12-15,2,1,6,67,2,65,7,0,6,3,1,2,4,,20,50000,50000,1,6,3
503216,2018-12-15,2,1,6,67,1,39,2,0,5,2,4,3,4,,80,500000,200000,1,7,3
523216,2018-12-15,2,1,6,29,2,53,7,0,5,3,1,4,4,1,100,600000,200000,1,5,4
533216,2018-12-15,2,1,6,29,2,70,7,0,3,3,1,4,4,2,100,650000,200000,1,5,3
543216,2018-12-15,2,1,6,29,2,55,7,0,7,3,1,4,4,1,100,800000,200000,1,5,7
553216,2018-12-15,2,1,6,29,1,42,2,0.25,4,3,4,4,4,2,100,800000,200000,1,5,7
563218,2018-12-16,2,1,8,29,2,40,1,0.33,4,3,1,4,4,1,100,600000,200000,1,7,7
573218,2018-12-16,2,1,8,29,2,36,7,0.25,6,3,1,3,4,,20,60000,200000,1,6,5
583217,2018-12-16,2,1,7,84,2,40,2,1,5,2,1,3,4,2,100,500000,300000,1,5,5
593217,2018-12-16,2,1,7,77,1,56,4,1,7,5,1,4,4,,80,850000,200000,1,8,7
603217,2018-12-16,2,1,7,77,1,81,1,1,5,5,1,5,4,,80,550000,200000,1,7,7
613217,2018-12-16,2,1,7,125,2,50,7,0.5,6,2,1,4,4,,80,400000,200000,1,6,7
623217,2018-12-16,2,1,7,27,2,48,7,0,7,3,2,3,4,,80,250000,200000,1,6,7
633217,2018-12-16,2,1,7,27,2,40,1,1,4,2,1,3,4,5,100,700000,300000,1,7,7
643218,2018-12-16,2,1,8,9,2,31,7,0,3,7,1,3,4,14,100,550000,200000,1,6,7
653218,2018-12-16,2,1,8,77,2,38,2,0,6,3,1,7,4,,80,450000,200000,1,10,4
663219,2018-12-17,2,1,9,125,2,55,7,0,6,3,3,4,4,1,100,500000,200000,1,7,6
683219,2018-12-17,2,1,9,84,2,26,2,0.33,5,2,1,3,4,2,100,300000,200000,1,9,6
